	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 3	Subtype 2	Subtype 2	Subtype 2	Subtype 2	Subtype 2	Subtype 2	Subtype 2	Subtype 2	Subtype 2	Subtype 2	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1	Subtype 1
OGFOD1	0.139	0.349	-1.233	0.446	1.291	-0.352	2.879	0.975	-0.083	0.129	0	0.366	2.556	0.589	-0.038	0.698	-0.431	1.823	2.969	1.313	1.311	1.122	1.593	0	0.556	1.368	0.2	-1.337	-0.528	-0.303	-0.98	-0.201	-0.883	-0.459	-2.032	-1.404	-1.499	-0.563	-1.224	-0.676	0	0.052	-1.351	-1.067	-1.174	-2.006	-1.14	-1.951	-1.526	-3.368	-2.082	-3.843	0.443	-0.26	-0.363	-1.592
ANO4	0.102	0.437	1.208	-0.45	-1.001	0.928	-0.863	0.869	1.437	1.127	1.421	0.737	0.792	0.287	0.971	0.465	-0.447	-0.17	1.235	-0.238	-0.037	1.166	0.746	1.73	0.518	0.695	1.061	-0.606	0.334	0.265	-0.623	-0.173	1.085	-0.222	0	0	-0.339	-0.007	-0.988	-0.658	0.007	0.535	-1.025	0	0.231	-1.634	-1.387	-1.794	-2.388	-0.112	-0.869	-0.745	-0.726	-0.969	-2.85	-1.353
SOX1	1.799	0.7545	0.0145	0.2645	1.336	1.246	2.166	1.086	1.872	1.538	1.266	2.761	2.122	0.3255	1.686	0	2.05	1.546	1.166	0.4245	1.525	0.8155	4.357	0	2.609	0	0.7235	-2.778	-0.0905	-0.7745	-0.8145	-0.8455	-1.84	0	-0.9345	1.235	-0.6245	0	0	-0.0465	-0.2655	-1.074	-0.4305	-0.7565	-0.8925	-0.5545	-1.124	-1.144	-1.914	-1.027	-1.566	-0.2105	-1.509	-1.084	-1.532	-1.314
TSPAN3	1.32	1.221	0.227	1.764	0.139	0.632	1.236	-0.026	-0.117	-0.087	0.116	0.005	0.666	0.528	1.461	1.065	1.836	-0.608	1.059	1.32	0.785	1.728	-1.86e-08	1.397	1.715	1.622	1.385	-1.86e-08	0.532	-0.172	-0.18	0.847	0.859	0.222	0.418	-0.151	-0.616	-1.86e-08	0.006	-0.569	0.58	0.207	-1.116	-1.049	0.47	-1.374	-0.814	-0.962	-1.761	-1.327	-3.079	-2.636	-0.446	-0.787	0.052	-0.84
PCGF5	0.653	0.737	0.84	0.824	0.076	-0.457	0.226	-0.483	0.55	0.804	1.008	0.527	0.802	0.752	-0.17	0.322	0.209	-0.306	0.79	0.055	0.064	0.318	0.189	1.126	1.02	0.449	0.63	0.57	0.765	-0.147	-0.677	0.01	1.048	0.7	-6.68e-09	-0.264	-0.095	0.212	-6.68e-09	-0.822	-0.671	0.119	-1.228	-0.843	-0.427	-0.852	-0.527	0.342	-0.388	-1.017	-0.869	-0.061	-0.79	-0.549	-0.778	-0.685
RBM5	-0.443	-2.72e-08	-2.72e-08	-0.845	-2.72e-08	-0.797	-1.145	-1.869	0.054	-0.666	-2.72e-08	-1.12	-0.3	-0.555	-0.96	-0.787	0.648	-0.599	-0.207	-0.281	-1.139	-0.723	-0.868	0.379	0.492	-2.72e-08	0.603	-0.733	0.052	0.199	0.994	1.199	1.186	1.017	1.135	-0.541	1.015	1.462	3.313	1.44	1.016	1.052	2.417	1.598	1.38	1.201	1.538	1.407	1.772	1.345	1.122	2.103	3.334	1.283	-2.72e-08	3.68
PXDN	-0.443	-3.088	-1.172	-0.923	-0.285	-0.051	-1.591	-0.801	0.533	-0.327	0.06	-2.288	-1.85	-0.144	-0.736	-1.02	-1.057	-0.565	-1.554	-0.598	0.543	-0.274	0.174	-0.469	0.186	-0.622	-1.649	0.144	-0.08	0.179	0.285	1.092	-0.073	0.393	-0.71	0.693	0.167	0.879	2.254	1.24	0.015	0.681	0.346	1.413	1.624	0.417	0.746	0.963	-0.11	1.095	1.573	1.609	1.369	0.428	0.099	1.073
HPS6	1e-07	-0.2695	-0.0695	1.343	0.1145	0.6765	0.5915	0.2175	1e-07	0.7715	0.7185	0.0675	-0.6175	0.4145	-0.2065	0.5205	1e-07	0.2415	0.4675	1.127	1.665	0.4855	0.0275	1.441	1.14	1.147	0.3255	1e-07	0.6455	0.2085	-0.2515	0.1115	1.247	0.2105	-0.5235	-0.0405	-0.1975	-1.571	-1.267	-0.6585	-1.563	-0.1725	1e-07	-0.6095	-1.52	-0.5285	-1.118	-1.097	-1.573	-1.866	-2.687	-2.971	-0.4195	-1.036	-2.147	-1.28
ODZ4	-0.393	0.537	-0.567	-0.714	0.286	-0.822	-1.737	-1.587	0.377	-0.011	-0.199	-1.143	-0.464	0.245	-0.624	-0.281	-0.174	-1.318	-1.67	-1.385	0.222	-1.043	0	-0.032	0.097	0.253	0.43	0.647	0.681	-0.124	-0.038	0.671	-0.542	0.248	0.513	-0.079	0.223	1.171	1.43	2.792	1.083	0.419	1.536	-0.175	3.617	0.588	0.267	0.389	1.498	0.825	2.93	0.507	1.828	-0.174	1.538	0.57
CDKN2D	1.221	0.937	-0.087	-1.585	1.229	0.018	-1.421	-0.965	0.407	0.856	0.995	-0.394	0.978	0.255	-1.103	-0.675	-1.76e-08	0.33	0.1	-0.453	0.601	-2.324	0.618	0.378	0.635	-0.533	1.029	-0.767	-0.427	-0.024	0.705	0.255	0.471	0.318	-1.011	1.194	1.269	-1.669	-3.371	-1.799	-2.621	0.086	-3.164	-2.451	-3.268	-2.395	-2.266	-2.856	-0.8	-2.242	-2.769	-1.091	-1.182	-0.766	0.451	0.167
PLXNB1	-1.475	-1.62e-08	-3.612	-1.62e-08	-0.485	-0.024	-0.252	-0.413	0.2	0.426	-1.328	-1.83	-1.62e-08	0.262	-0.533	-1.337	-0.361	-0.787	-2.778	-2.366	-1.591	-1.62e-08	-0.913	-0.7	-0.425	-1.213	-1.62e-08	0.45	-1.151	-0.044	-0.105	1.946	-1.21	0.166	0.249	0.339	0.711	1.55	1.648	1.632	0.697	0.56	1.764	0.482	0.432	0.46	1.568	2.604	2.648	-0.15	1.968	1.078	-0.236	0.908	1.869	1.678
ANK2	-1.291	-2.86e-09	-1.789	-0.883	-0.838	0.098	-1.112	-1.94	-0.714	0.174	0.785	2.204	-1.258	-2.86e-09	-0.371	-0.126	-0.687	-0.987	-0.983	-1.728	0.573	0.4	0.27	-2.86e-09	1.213	2.275	0.74	0.881	-0.292	-0.272	-0.48	-0.854	-2.86e-09	0.708	-1.806	-0.683	0.679	-1.333	5.095	3.492	2.281	4.525	4.133	1.059	2.627	3.495	0.656	2.679	2.279	4.096	2.897	-0.266	5.398	-1.311	-2.86e-09	1.208
ERG	-0.9235	0	-1.268	-3.461	-1.068	-1.677	-0.2865	-0.8485	-0.6255	-1.686	-0.1985	0.0235	-0.9265	-1.702	-0.1435	-0.3055	0.1365	-1.873	-0.1725	-1.585	-1.487	-1.672	0.0835	0	-1.001	0	-1.594	0	0.4425	1.01	-0.1555	0.4835	0.0225	0.2665	2.037	1.24	1.134	0.1935	1.592	0.9265	3.87	2.956	1.363	1.537	1.924	2.141	1.725	-0.3565	1.537	1.686	0.6475	-0.9075	4.083	-0.2675	1.189	2.871
ARHGEF38	0.9915	1.317	-0.5385	1.292	0.1545	1.248	0.0905	0.5675	0.3385	0	0	0.5635	0.1335	-0.2995	1.038	-0.1655	-1.492	1.058	1.924	0.0955	2.085	-0.5025	1.268	0.2995	1.271	0.6765	0.4695	1.084	-1.024	-0.7545	-0.8625	0.3315	-0.2315	0.0755	0.4885	0.5885	-0.4925	-0.4495	-1.551	0.9195	-1.351	-1.886	-2.003	-1.707	-1.114	-0.8065	-1.237	-1.112	-3.874	-2.327	-1.658	-0.0715	-1.378	-2.87	-1.836	-0.9595
C17orf42	-0.01	0.863	-0.857	0.113	-0.267	-0.055	-1.182	-2.143	-0.16	-0.816	-0.261	-0.237	-0.023	-1.031	-0.596	-0.444	-0.868	-1.998	-1.597	-1.691	-1.996	-2.023	0.076	0.472	0.392	4.01e-08	0.318	0.347	-0.776	-0.601	-1.27	0.662	0.358	0.332	0.887	0.075	0.34	-0.072	0.552	2.236	4.01e-08	0.898	1.229	1.847	3.649	0.692	1.01	1.946	1.003	0.715	2.44	0.954	2.188	1.438	2.195	1.31
SLC22A18	-0.54	0.705	-0.605	-1.033	-4.77e-09	0.535	0.399	-0.879	0.145	-0.518	0.24	-0.213	0.942	0.473	0.912	0.719	1.062	0.012	1.239	1.196	-4.77e-09	0.277	1.311	0.429	0.577	0.52	0.607	-0.261	0.034	0.064	-0.431	-0.074	0.168	0.333	0.761	-0.747	0.54	0.03	-0.784	-0.255	0.126	-0.435	-0.393	-1.436	-1.461	-0.81	-0.956	-1.019	-1.743	-0.631	-1.879	-0.191	-0.713	-0.076	-0.379	-0.005
PIGR	0.577	-0.405	0.074	-0.894	-0.303	-0.231	0.143	1.242	-0.743	-0.172	0.643	1.062	0.857	0.65	1.206	2.008	1.207	1.039	0.363	0.025	-0.239	0.852	0.381	0.343	0.042	0.889	0.566	0.045	-0.737	-0.295	-2.463	-0.528	3.05e-08	-0.221	-1.352	-0.695	-0.27	3.05e-08	-0.993	-0.824	0.198	2.44	-2.054	3.05e-08	0.721	-0.413	3.05e-08	-0.611	-0.856	-1.305	-1.724	-1.021	0.131	-0.29	0.209	0.06
FLJ35816	-1.9358	-0.3895	0.0525	-0.9725	-0.56475	0.41175	-0.83575	-0.34325	-1.165	-0.53775	0.23925	0.49975	1.493	-0.48825	0.83775	-0.03125	-1.13	0.04275	-0.66375	-0.36825	-0.761	-0.739	-0.16125	-0.871	0.13125	-0.33325	-0.7665	3.256	1.909	2.0125	2.9835	3.206	2.8585	2.499	3.546	3.9865	2.38	-1.499	-1.3258	-0.32225	-1.3453	0.75325	-0.81275	-1.0775	-1.0913	0.00325	-1.299	-0.924	-0.26675	0.1405	-1.6332	-1.466	-0.8535	-1.179	-0.20025	0.21725
UGT2B28	1.848	1.584	1.372	1.088	3.293	1.723	2.443	2.363	2.403	2.043	1.813	4.385	0.653	1.413	1.253	1.173	1.165	2.303	1.133	0.573	3.353	1.583	1.663	1.333	1.603	2.523	1.403	-2.966	-0.087	-1.423	-3.898	-2.167	5.91e-08	-2.847	-2.527	-2.757	-2.607	-2.997	-3.277	-2.207	5.91e-08	-2.317	-2.987	-2.997	-6.094	-2.177	-2.987	-2.407	5.91e-08	5.91e-08	-6.168	5.91e-08	-2.517	-3.787	-2.897	-3.737
ANKRD44	0.209	0.695	0.055	0.582	-0.71	0.944	2.083	1.248	-0.652	0.778	0.345	0.296	1.655	0.897	0.934	7.63e-09	0.395	1.592	1.791	1.499	-0.486	1.245	0.307	7.63e-09	0.288	1.293	1.295	7.63e-09	-0.098	0.132	-0.031	0.485	0.42	-0.8	0.047	-1.014	-0.404	-1.845	-1.515	-1.507	-0.351	-1.384	7.63e-09	-1.963	-1.407	-0.768	-0.874	-1.002	-1.135	-0.92	-1.792	7.63e-09	-2.271	-0.652	-2.517	-0.938
KIAA1407	-0.092	0.132	-0.407	0.288	1.389	-0.416	2.049	1.915	1.4	1.785	1.477	-0.12	0.823	1.408	0.458	0.345	0.405	0.974	0.957	1.333	1.401	0.637	0	2.153	2.248	0.952	0	-0.054	-0.672	-0.922	-1.826	-1.164	0.163	0.531	-1.368	0.366	-2.027	-1.815	-2.222	-1.341	-0.721	-2.542	-2.223	-0.98	-1.647	-0.665	-0.71	-2.08	-0.649	-1.4	-1.237	-0.982	-0.965	-2.167	-2.609	-0.945
HIST1H2AB	1.038	0.705	0.731	1.152	-0.484	0.55	0.675	1.818	0.284	0.757	0.612	-0.269	1.396	0.331	0.58	-0.041	0.06	1.456	2.148	0.333	0.751	1.116	0.153	-5.44e-08	-5.44e-08	-5.44e-08	0.093	-0.457	-0.799	-0.584	-0.521	-5.44e-08	-5.44e-08	-5.44e-08	-0.33	-0.575	-1.45	-5.44e-08	-0.899	-0.777	-1.992	-2.54	-1.877	-1.421	-2.048	-1.469	-1.775	-1.644	-0.88	-2.217	-1.617	-2.4	-5.44e-08	-1.762	-2.166	-1.286
RGS14	0.363	0.436	1.008	0.915	0.455	0.431	0.082	0.181	0.448	1.553	1.552	0.455	1.644	0.233	0.02	8.77e-08	-1.194	0.76	1.895	0.93	1.388	0.019	0.46	0.34	1.012	0.862	0.702	-0.171	-1.835	-1.289	-1.359	-1.702	-1.103	-0.223	0.302	-0.076	-1.269	-1.25	-2.006	-3.788	-6.848	-4.551	8.77e-08	-7.604	-7.218	-5.695	-4.404	-3.456	8.77e-08	-9.385	-5.826	-6.432	-3.771	-5.279	-6.697	-1.49
SCARB1	-3.878	-1.24e-08	-1.24e-08	-1.24e-08	0.188	-0.441	-0.571	-1.695	0.492	-0.031	0.906	-1.24e-08	-1.028	-0.523	-0.412	-0.214	-1.24e-08	-1.196	-2.424	-1.461	-0.708	-0.75	-0.404	0.067	-0.112	-0.728	0.248	0.393	0.837	0.488	-0.213	0.25	-1.24e-08	0.221	0.361	0.173	1.057	-1.411	4.354	3.987	2.233	1.384	-1.24e-08	1.897	2.64	3.703	2.326	1.254	2.64	5.12	2.933	2.652	2.813	3.407	3.946	1.428
CLDN15	-0.466	0	0.826	0.441	-3.181	-0.834	0.696	0.441	0	-1.585	0.997	-4.272	-0.283	-1.447	-0.357	-0.064	0.384	-1.273	-4.512	-1.699	-0.715	-2.516	0.282	1.178	-0.027	-1.444	0.281	0.515	-0.216	2.754	-0.552	-0.984	-1.887	-1.367	-1.264	-0.88	1.858	-0.831	-1.411	3.085	7.528	5.368	3.122	2.744	0.113	6.296	4.116	4.245	3.409	4.7	4.298	5.237	5.268	2.847	3.333	2.215
LOC100287576	0.3505	1.057	0.6025	-1.667	0	-0.8675	0.8595	0.2695	0.9475	0.6845	0.9945	-0.2465	0.5135	0.7665	0.6275	1.204	-1.178	1.47	-0.2765	-2.333	-1.927	0.1255	-0.8305	0.8325	1.852	2.079	-0.7935	-0.7375	0.6745	0.4245	-0.8405	0.0255	0.4835	0.7845	0.0485	-0.6865	0.1205	-0.8675	-1.272	-1.182	-2.471	-0.7945	-2.313	-0.7265	-0.6165	-1.338	-1.049	-2.373	-2.145	-1.166	-1.814	-2.059	-1.793	-1.15	-1.855	-0.6695
